"AccountType","Owner","Repo","CommitCount","LocTotal","FirstCommit","LastCommit","HasTests","HasCI","HasDocs","ProofScore","ValueMid"
"Personal","Allen-Bradley","AddonDes002","7","3808","2024/07/24 08:12:02","2024/08/02 09:18:18","False","False","False","30","51900"
"Personal","Allen-Bradley","ControlLogixTree","78","960",,"2022/08/01 15:48:48","False","False","False","26","12600"
"Personal","Allen-Bradley","DraftSightUtil","13","4416","2021/06/17 11:32:27","2023/07/24 10:44:36","False","False","False","33","61425"
"Personal","Allen-Bradley","EchoNet","247","4799",,"2023/11/09 07:29:05","False","False","False","36","68550"
"Personal","Allen-Bradley","EchoNetPortsClient","31","1951","2023/05/09 13:08:53","2023/08/02 14:50:03","False","False","True","49","30525"
"Personal","Allen-Bradley","EchoNetPortService","27","324","2023/05/09 12:22:57","2023/08/02 14:38:14","False","False","False","33","4200"
"Personal","Allen-Bradley","EchoPortClient","3","501","2023/05/09 09:16:52","2023/05/09 11:16:13","False","False","False","24","6525"
"Personal","Allen-Bradley","libplctag.NET","5","4494","2022/08/01 10:35:46","2022/08/01 15:45:19","False","False","False","31","61875"
"Personal","Allen-Bradley","LibplctagClient","8","674","2023/06/01 15:43:22","2023/06/07 13:44:38","False","False","False","31","8925"
"Personal","Allen-Bradley","LogixCodeGenerator","26","1431282","2023/04/04 11:30:18","2023/04/17 14:40:06","False","False","False","40","882000"
"Personal","Allen-Bradley","MonoRailLogicBlock","4","1148","2022/07/01 13:03:46","2022/07/04 15:27:43","False","False","False","26","15225"
"Personal","Allen-Bradley","PortProxyBridge","15","432","2023/05/09 10:06:49","2023/08/01 13:53:11","False","False","False","30","6150"
"Personal","Allen-Bradley","RSLogix5000Lib","2","1463","2021/07/15 08:17:10","2021/07/15 08:17:12","False","False","False","27","19350"
"Personal","DesignEngineeringTool","AutoFactoryScope","47","4311","2025/11/12 09:04:45","2025/11/19 10:41:53","True","True","True","66","74925"
"Personal","DesignEngineeringTool","CadFileConverter","10","384","2023/01/30 11:40:32","2023/01/31 07:54:05","True","False","False","39","5850"
"Personal","DesignEngineeringTool","CatiaDrawingExporter","5","1296","2022/11/29 11:17:59","2022/11/29 15:49:08","False","False","False","27","17325"
"Personal","DesignEngineeringTool","DataTransferRequestManufacture","4","1131","2023/01/17 14:15:26","2023/01/23 10:27:59","False","False","False","26","15225"
"Personal","DesignEngineeringTool","DesignGroupAccelerator","100","128925",,"2023/07/26 12:02:51","False","False","False","49","938700"
"Personal","DesignEngineeringTool","DraftSightTestData","6","611","2024/07/02 12:27:45","2024/07/03 10:12:52","False","False","False","25","7875"
"Personal","DesignEngineeringTool","FmStueliBackdoor","2","13473","2023/02/03 08:45:36","2023/02/03 11:43:13","False","False","True","46","206175"
"Personal","DesignEngineeringTool","HubstaffTaskManager","4","903","2024/07/05 12:43:09","2024/07/08 12:03:17","False","False","False","27","12000"
"Personal","DesignEngineeringTool","ImportCatiaData","2","294","2023/01/30 08:26:28","2023/01/30 08:26:30","False","False","False","23","3900"
"Personal","DesignEngineeringTool","LabelMaker","16","1641","2024/07/23 16:18:18","2024/09/19 16:13:44","False","False","False","27","21975"
"Personal","DesignEngineeringTool","NxAutomatedDrafting","8","386","2023/03/15 12:18:30","2023/03/15 14:30:25","False","False","False","24","5175"
"Personal","DesignEngineeringTool","NxJournals","7","500","2023/04/21 11:11:59","2023/04/25 12:20:15","False","False","False","24","6525"
"Personal","DesignEngineeringTool","PipeWeaver","230","4922",,"2024/12/05 15:33:49","False","False","True","54","79200"
"Personal","GeorgeMcIntyre-Web","AssetLens","2","7420","2025/12/12 03:47:11","2025/12/14 07:01:48","True","True","True","67","129750"
"Personal","GeorgeMcIntyre-Web","aurora_invest_app","122","38092","2025/12/03 11:31:20","2025/12/11 16:53:52","True","True","True","72","688050"
"Personal","GeorgeMcIntyre-Web","CascadedPointCloudFit","64","14841","2025/11/27 06:42:03","2025/11/28 14:32:38","True","True","True","70","265050"
"Personal","GeorgeMcIntyre-Web","ClerkAuth","40","21598","2025/09/01 07:09:53","2025/09/02 06:25:13","False","False","True","45","328875"
"Personal","GeorgeMcIntyre-Web","fire-protection","60","31734","2025/10/25 15:02:43","2025/11/15 08:55:07","True","True","True","72","573375"
"Personal","GeorgeMcIntyre-Web","fittingflow","2","12993","2025/12/22 02:44:55","2025/12/22 08:51:25","True","False","True","59","217050"
"Personal","GeorgeMcIntyre-Web","IronMind","3","803","2026/01/21 09:53:28","2026/01/21 12:20:28","True","True","True","60","13425"
"Personal","GeorgeMcIntyre-Web","kinetiCORE","1260","288977",,"2025/12/01 14:35:40","True","True","True","78","1121400"
