"AccountType","Owner","Repo","Score","MaxScore","Grade","HasReadme","HasTests","HasCI","HasDocs","DaysSinceLastCommit","RecommendationCount","Recommendations","Strengths"
"Personal","Allen-Bradley","AddonDes002","20","100","Poor","False","False","False","False","548","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 1.5 years - consider archiving or updating","Maintains changelog; Has license file"
"Personal","Allen-Bradley","ControlLogixTree","10","100","Poor","False","False","False","False","1279","7","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 3.5 years - consider archiving or updating; Clean up TODO/FIXME comments","Maintains changelog; Has license file"
"Personal","Allen-Bradley","DraftSightUtil","15","100","Poor","False","False","False","False","923","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 2.5 years - consider archiving or updating","Maintains changelog; Has license file"
"Personal","Allen-Bradley","EchoNet","25","100","Poor","False","True","False","False","815","5","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 2.2 years - consider archiving or updating","Maintains changelog; Has license file; Has test suite"
"Personal","Allen-Bradley","EchoNetPortsClient","40","100","Needs Work","True","False","False","False","913","5","Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 2.5 years - consider archiving or updating","Excellent README documentation; Maintains changelog; Has license file"
"Personal","Allen-Bradley","EchoNetPortService","15","100","Poor","False","False","False","False","913","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 2.5 years - consider archiving or updating","Maintains changelog; Has license file"
"Personal","Allen-Bradley","EchoPortClient","25","100","Poor","False","True","False","False","999","5","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 2.7 years - consider archiving or updating","Maintains changelog; Has license file; Has test suite"
"Personal","Allen-Bradley","libplctag.NET","20","100","Poor","False","True","False","False","1279","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 3.5 years - consider archiving or updating; Clean up TODO/FIXME comments","Maintains changelog; Has license file; Has test suite"
"Personal","Allen-Bradley","LibplctagClient","20","100","Poor","False","True","False","False","970","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 2.7 years - consider archiving or updating; Clean up TODO/FIXME comments","Maintains changelog; Has license file; Has test suite"
"Personal","Allen-Bradley","LogixCodeGenerator","15","100","Poor","False","False","False","False","1020","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 2.8 years - consider archiving or updating","Maintains changelog; Has license file"
